Society,Marla,Bedrooms,Bathrooms,Garage,Terrace,Kitchens,Drawing Rooms,Age (years),Condition (1-5),Price (PKR),Society_Encoded
Cavalry Ground,10,6,6,1,1,2,1,10,2,96409099,8
Cavalry Ground,5,4,4,0,1,1,1,0,1,44992219,8
Cavalry Ground,20,6,5,1,1,3,3,22,2,194911315,8
Cavalry Ground,15,4,3,3,1,2,1,19,4,136191398,8
Cavalry Ground,5,2,1,1,0,2,1,0,1,47057952,8
Cavalry Ground,5,3,3,0,1,2,1,13,2,48441547,8
Cavalry Ground,15,6,5,2,1,3,2,16,3,142670394,8
Cavalry Ground,5,3,2,0,1,1,1,18,4,44907692,8
Cavalry Ground,15,4,3,2,2,3,2,18,1,152845276,8
Cavalry Ground,5,4,4,1,1,2,1,17,4,52936433,8
Cavalry Ground,3,2,1,0,0,1,0,11,1,28575027,8
Cavalry Ground,7,4,4,1,1,2,1,17,1,70320842,8
Cavalry Ground,5,3,2,1,1,1,1,19,3,52516545,8
Cavalry Ground,10,6,6,1,2,2,1,24,2,96400549,8
Cavalry Ground,20,5,4,2,2,2,2,8,1,184481973,8
Cavalry Ground,5,4,4,0,1,3,1,1,4,50281959,8
Cavalry Ground,10,4,4,1,0,2,1,5,4,91532308,8
Cavalry Ground,3,3,3,0,0,1,0,20,2,27881919,8
Cavalry Ground,5,4,3,1,1,2,1,8,3,48812132,8
Cavalry Ground,10,3,2,2,0,2,1,20,3,100405326,8
Cavalry Ground,15,6,5,2,2,2,1,0,1,142806483,8
Cavalry Ground,20,4,3,3,1,2,2,5,1,191045096,8
Cavalry Ground,10,4,4,2,0,1,1,27,4,95072136,8
Model Town,7,5,4,1,1,1,1,9,2,56557873,30
Model Town,3,2,2,1,0,1,0,0,1,21296575,30
Model Town,3,3,2,0,0,1,0,25,1,21084625,30
Model Town,3,3,3,0,1,1,0,3,3,22741744,30
Model Town,10,5,4,1,1,2,1,13,3,79632486,30
Model Town,7,3,2,2,1,3,1,27,1,58634463,30
Model Town,10,6,6,1,1,3,1,26,4,81118312,30
Model Town,7,4,3,1,1,2,1,1,3,55795645,30
Model Town,5,3,2,1,1,2,1,3,4,37259473,30
Model Town,10,4,3,1,1,2,1,20,5,68877314,30
Model Town,5,2,1,1,1,2,1,18,3,41133029,30
Model Town,3,3,2,0,0,1,0,20,5,21414918,30
Model Town,15,4,4,2,2,3,2,13,2,110806304,30
Model Town,5,2,2,0,0,1,1,12,3,34677322,30
Model Town,7,3,2,2,1,3,1,2,1,50311917,30
Model Town,5,4,4,1,1,3,1,14,5,38316915,30
Model Town,3,3,3,0,0,1,0,21,1,20160033,30
Model Town,7,4,4,1,1,3,1,18,4,50333334,30
Model Town,5,4,3,0,0,2,1,18,4,37280583,30
Model Town,20,4,4,2,2,3,2,0,5,150463393,30
Model Town,7,4,4,1,1,1,1,15,1,53204245,30
Model Town,20,6,5,3,1,2,3,6,2,151019376,30
Model Town,7,3,2,2,0,1,1,2,5,56943996,30
Model Town,10,6,5,1,1,3,1,23,1,74438094,30
Model Town,15,4,4,1,1,3,2,18,3,118229258,30
Model Town,15,6,6,1,1,3,1,15,2,101350278,30
Model Town,15,7,7,2,2,3,2,16,5,114914469,30
Model Town,7,4,4,1,2,2,1,28,3,51602145,30
Model Town,5,4,4,1,1,3,1,10,2,39032357,30
Model Town,20,5,5,3,2,2,3,28,1,152595078,30
Model Town,7,4,4,1,1,3,1,25,4,50208311,30
Model Town,10,6,5,2,0,2,1,27,5,71555444,30
Model Town,5,4,4,1,1,2,1,4,5,42543418,30
Model Town,5,3,3,1,0,2,1,7,3,36375360,30
Model Town,10,4,3,2,1,2,1,14,1,77679491,30
Model Town,5,4,3,1,1,1,1,29,1,36460319,30
Model Town,20,5,5,2,1,3,2,26,4,157470651,30
Model Town,3,2,2,0,0,1,0,5,4,23467798,30
Model Town,10,3,2,1,1,2,1,5,5,81430114,30
Model Town,5,2,1,0,1,1,1,24,3,36248662,30
Model Town,10,5,4,1,0,3,1,10,1,75064122,30
Model Town,3,3,3,1,0,1,0,26,5,25744230,30
Model Town,20,6,6,1,1,2,3,20,3,143598965,30
Model Town,3,3,2,0,0,1,0,13,2,22284441,30
Model Town,5,4,4,1,0,2,1,15,5,42454125,30
Model Town,10,3,2,2,1,2,1,1,2,71398510,30
Model Town,10,6,6,2,1,3,1,22,4,78801806,30
Model Town,5,4,4,1,1,1,1,9,4,44211414,30
Garden Town,3,2,2,0,0,1,0,23,3,16873429,21
Garden Town,7,3,3,1,1,2,1,21,3,48260816,21
Garden Town,15,4,4,2,1,3,2,28,2,86836272,21
Garden Town,10,5,5,1,1,2,1,19,3,66887587,21
Garden Town,20,4,4,2,2,3,2,7,4,125027904,21
Garden Town,3,3,3,0,0,2,0,19,4,18271303,21
Garden Town,10,5,5,1,2,3,1,15,3,69689191,21
Garden Town,5,4,4,1,0,2,1,16,1,32810769,21
Garden Town,15,5,4,2,1,3,1,16,2,105172423,21
Garden Town,3,2,1,0,0,1,0,26,4,16427954,21
Garden Town,20,7,6,2,1,2,3,7,4,123333513,21
Garden Town,10,4,3,1,1,3,1,9,4,63447376,21
Garden Town,10,6,5,1,1,3,1,17,2,69658400,21
Garden Town,10,4,3,1,1,2,1,7,3,58499403,21
Garden Town,5,4,4,1,1,2,1,24,2,32553392,21
Garden Town,5,3,3,0,1,2,1,7,1,34590499,21
Garden Town,5,4,4,1,1,1,1,7,4,31858229,21
Garden Town,7,3,2,1,1,2,1,18,4,44944650,21
Garden Town,15,5,4,2,1,2,2,7,5,105753831,21
Garden Town,15,5,5,2,1,3,2,3,4,99412141,21
Garden Town,5,4,3,0,1,1,1,29,3,30122356,21
Garden Town,5,3,2,0,1,2,1,22,1,33124068,21
Garden Town,5,3,3,1,0,1,1,28,5,30842722,21
Garden Town,10,3,3,1,2,2,1,21,4,58834341,21
Garden Town,15,5,5,2,2,3,1,0,5,91553966,21
Garden Town,7,4,4,1,1,3,1,26,2,48758450,21
Garden Town,10,3,3,2,1,2,1,1,2,66613715,21
Garden Town,10,3,2,1,1,2,1,12,3,58183839,21
Garden Town,5,4,4,1,1,1,1,19,2,35963520,21
Garden Town,5,3,3,1,1,1,1,0,4,31774351,21
Garden Town,7,3,2,1,1,2,1,24,1,42237889,21
Garden Town,20,7,7,2,1,3,2,16,1,121125280,21
Garden Town,10,3,2,2,1,2,1,5,5,70289814,21
Garden Town,7,3,3,1,1,1,1,20,3,43958925,21
Garden Town,3,2,1,0,0,2,0,5,4,20558132,21
Garden Town,20,6,5,2,1,3,1,25,1,131686790,21
Garden Town,10,4,4,1,1,3,1,23,3,69079605,21
Garden Town,3,3,2,0,1,2,0,15,2,21410519,21
Garden Town,3,2,2,0,0,2,0,22,5,18702538,21
Garden Town,7,4,3,1,1,2,1,19,2,43103135,21
Garden Town,5,4,3,1,1,2,1,11,1,35279259,21
Garden Town,7,4,4,2,2,2,1,3,1,49031064,21
Garden Town,10,5,4,1,2,3,1,21,5,69773186,21
Garden Town,7,4,4,1,1,3,1,14,1,43283818,21
Garden Town,5,2,1,1,0,1,1,22,4,32799531,21
Garden Town,5,4,3,1,1,3,1,17,2,33163941,21
Garden Town,3,2,2,0,0,1,0,20,5,17384821,21
Garden Town,20,4,4,1,1,2,2,10,4,118605534,21
Garden Town,15,4,4,2,1,2,2,25,1,86774494,21
Garden Town,10,6,6,1,0,2,1,11,1,63741118,21
Garden Town,5,4,4,0,1,2,1,9,5,35518257,21
Garden Town,3,2,2,0,0,1,0,16,2,16866024,21
Garden Town,15,7,6,3,1,3,1,28,5,97522237,21
Faisal Town,5,4,3,0,1,1,1,22,1,27294000,20
Faisal Town,20,5,4,2,2,3,2,13,5,102151399,20
Faisal Town,5,4,4,1,0,2,1,16,3,27642469,20
Faisal Town,10,6,5,2,1,2,1,28,1,60136962,20
Faisal Town,20,6,5,2,1,3,2,14,4,108640264,20
Faisal Town,3,3,2,0,0,2,0,12,2,16111731,20
Faisal Town,5,4,4,0,0,2,1,7,4,29876976,20
Faisal Town,10,3,2,1,1,2,1,17,5,57171715,20
Faisal Town,5,3,3,1,1,1,1,5,2,27361746,20
Faisal Town,5,2,2,1,0,1,1,7,2,27477243,20
Faisal Town,5,3,2,1,1,1,1,10,3,31478627,20
Faisal Town,20,7,7,2,1,3,2,0,4,106130399,20
Faisal Town,10,3,3,2,2,3,1,22,1,54941023,20
Faisal Town,5,2,2,0,1,1,1,14,4,27271062,20
Faisal Town,7,4,4,1,1,2,1,13,2,35976234,20
Faisal Town,5,4,4,0,1,3,1,15,2,25483664,20
Faisal Town,5,2,2,1,0,1,1,29,2,28781964,20
Faisal Town,7,4,4,1,1,2,1,2,5,42299138,20
Faisal Town,20,4,3,2,1,3,2,6,2,96940071,20
Faisal Town,7,5,5,2,0,2,1,13,4,40236558,20
Faisal Town,15,4,4,2,1,2,1,25,4,79953347,20
Faisal Town,5,2,1,0,0,1,1,12,4,25961184,20
Faisal Town,7,5,5,1,1,2,1,12,2,37461529,20
Faisal Town,5,4,3,1,1,2,1,3,2,28900986,20
Faisal Town,10,3,2,1,1,2,1,1,5,51993379,20
Faisal Town,20,7,6,2,1,2,1,5,4,111578664,20
Faisal Town,15,4,3,3,1,3,2,10,5,76373171,20
Faisal Town,3,3,2,0,0,1,0,6,4,18064069,20
Faisal Town,10,6,6,1,2,3,1,20,2,55304324,20
Faisal Town,7,4,3,1,1,3,1,13,5,39407405,20
Faisal Town,5,4,4,0,1,2,1,17,4,25497420,20
Faisal Town,15,7,6,2,1,3,2,9,4,76526861,20
Faisal Town,5,3,3,1,0,1,1,9,3,28599074,20
Faisal Town,10,6,5,1,1,3,1,27,1,49169078,20
Faisal Town,7,4,3,1,1,2,1,9,5,41151898,20
Faisal Town,5,2,1,1,0,2,1,1,2,28140040,20
Faisal Town,7,3,2,1,1,1,1,1,4,39203990,20
Faisal Town,10,5,4,2,1,2,1,24,2,50600635,20
Faisal Town,15,7,6,2,1,3,2,4,2,76658928,20
Faisal Town,15,5,4,1,2,2,1,13,5,87689489,20
Faisal Town,10,3,3,1,2,2,1,22,5,52520132,20
Faisal Town,5,2,1,0,0,1,1,5,4,25352476,20
Faisal Town,10,4,4,1,0,3,1,16,1,52731920,20
Faisal Town,7,3,3,2,1,3,1,26,3,36135247,20
Faisal Town,10,3,2,1,0,2,1,7,5,58538557,20
Faisal Town,10,3,3,1,1,2,1,1,5,60344258,20
Faisal Town,5,4,4,0,0,2,1,6,3,27544466,20
Faisal Town,15,6,5,2,2,3,2,0,1,82957687,20
Faisal Town,15,7,7,2,1,3,1,26,4,85587597,20
Faisal Town,10,3,3,2,1,2,1,26,5,58580179,20
Faisal Town,10,3,2,1,1,1,1,21,3,50052587,20
Faisal Town,5,3,2,0,1,1,1,12,4,28887886,20
Faisal Town,10,6,6,2,1,3,1,13,3,58745310,20
Faisal Town,15,5,4,2,2,3,2,16,2,76556976,20
Faisal Town,20,7,7,1,2,3,2,24,4,111452444,20
Faisal Town,10,5,5,2,0,3,1,15,1,60435037,20
Johar Town,10,5,4,2,1,2,1,27,1,47506891,27
Johar Town,5,4,4,0,1,1,1,18,1,24671234,27
Johar Town,5,3,2,1,1,1,1,19,5,28105433,27
Johar Town,7,3,3,1,1,1,1,21,4,34336420,27
Johar Town,7,3,2,2,0,1,1,8,2,35257030,27
Johar Town,10,3,2,1,1,1,1,11,5,50663122,27
Johar Town,3,3,3,0,0,1,0,29,2,14945737,27
Johar Town,10,3,2,2,1,2,1,10,3,50988823,27
Johar Town,5,2,1,1,1,1,1,3,5,24031741,27
Johar Town,20,5,4,2,2,3,3,11,4,103280206,27
Johar Town,5,4,4,0,1,2,1,25,5,24930729,27
Johar Town,10,6,5,1,1,3,1,4,1,54118979,27
Johar Town,5,3,2,0,1,1,1,11,5,23991544,27
Johar Town,5,4,3,1,0,2,1,17,3,24054149,27
Johar Town,7,4,4,2,1,2,1,25,3,39116647,27
Johar Town,10,3,2,2,1,3,1,5,2,53050147,27
Johar Town,10,5,5,2,1,3,1,27,3,52105316,27
Johar Town,10,3,2,1,1,2,1,20,3,45707891,27
Johar Town,10,5,5,1,0,2,1,9,4,46835312,27
Johar Town,10,6,6,2,2,3,1,7,2,48899496,27
Johar Town,7,3,3,1,1,1,1,2,1,35473903,27
Johar Town,20,4,4,1,1,2,2,11,1,90979457,27
Johar Town,10,6,5,1,2,2,1,16,4,47184310,27
Johar Town,7,3,2,1,2,2,1,4,3,32952823,27
Johar Town,20,6,5,2,2,3,2,26,1,95137416,27
Johar Town,3,2,1,0,0,1,0,25,5,13291809,27
Johar Town,3,3,2,0,0,1,0,12,2,13841708,27
Johar Town,10,3,2,1,1,2,1,2,5,51300278,27
Johar Town,20,4,3,2,2,3,2,21,3,93207103,27
Johar Town,10,6,5,1,1,3,1,19,5,47295358,27
Johar Town,20,6,5,2,1,3,1,21,4,99957723,27
Johar Town,5,3,2,0,1,1,1,25,5,27007358,27
Johar Town,5,4,4,1,1,2,1,29,5,27176338,27
Johar Town,10,3,3,1,1,1,1,11,2,44292461,27
Johar Town,15,6,5,2,1,3,1,8,5,75769656,27
Johar Town,10,4,3,1,1,2,1,19,5,53400888,27
Johar Town,3,3,3,0,0,1,0,5,3,14356878,27
Johar Town,10,3,3,1,2,2,1,20,3,45025224,27
Johar Town,3,3,3,0,0,1,0,29,1,12854697,27
Johar Town,3,3,2,0,1,1,0,28,3,15693739,27
Johar Town,10,4,4,1,1,1,1,1,4,52673062,27
Johar Town,5,2,2,1,1,1,1,8,3,23674822,27
Johar Town,5,3,3,0,0,2,1,28,1,23637448,27
Johar Town,5,2,2,1,1,2,1,14,3,26061819,27
Johar Town,10,3,2,2,2,1,1,12,4,55896280,27
Johar Town,10,5,5,2,0,2,1,8,5,45884275,27
Johar Town,20,5,5,2,1,2,3,19,2,99683822,27
Johar Town,20,6,5,3,1,2,3,22,1,90737831,27
Johar Town,5,4,4,0,1,2,1,6,4,24408616,27
Johar Town,7,4,4,1,1,3,1,4,3,35567395,27
Johar Town,3,3,3,1,1,1,0,3,1,16190370,27
Johar Town,10,4,4,1,1,2,1,18,1,44412532,27
Johar Town,7,5,4,1,1,2,1,9,1,34381817,27
Johar Town,15,6,5,2,1,3,1,5,5,72296869,27
Johar Town,3,3,2,0,0,1,0,1,4,16086409,27
Johar Town,15,5,5,3,1,3,1,26,3,81374749,27
Johar Town,5,4,4,0,1,2,1,7,4,26540220,27
Johar Town,10,3,2,2,2,3,1,5,4,48311460,27
Johar Town,15,5,5,2,1,2,2,16,3,78119259,27
Askari 10,15,7,7,1,2,3,2,28,1,75092991,2
Askari 10,5,3,2,0,0,1,1,5,3,26453091,2
Askari 10,10,6,6,1,2,2,1,1,5,51235551,2
Askari 10,3,2,2,1,0,2,0,13,1,15155406,2
Askari 10,5,4,4,0,0,1,1,5,3,24925958,2
Askari 10,3,3,3,0,0,1,0,28,5,16468467,2
Askari 10,15,5,4,2,1,3,1,1,4,79239113,2
Askari 10,5,3,3,1,0,2,1,15,3,24571872,2
Askari 10,5,2,1,0,0,2,1,21,2,22744954,2
Askari 10,5,3,3,1,1,1,1,0,4,28544575,2
Askari 10,5,4,4,1,1,1,1,22,4,30479906,2
Askari 10,5,3,3,1,0,1,1,12,2,26414256,2
Askari 10,10,5,5,2,2,2,1,22,3,49734023,2
Askari 10,7,5,5,1,2,3,1,5,2,39930288,2
Askari 10,20,7,6,1,2,3,2,9,3,95360836,2
Askari 10,3,3,2,0,1,1,0,16,1,14815687,2
Askari 10,3,2,1,0,0,1,0,29,5,15855049,2
Askari 10,20,4,4,2,1,3,1,25,1,97346019,2
Askari 10,10,5,4,2,1,2,1,18,1,48889009,2
Askari 10,20,4,4,3,1,2,1,20,5,96032912,2
Askari 10,7,4,3,1,0,3,1,9,3,33663199,2
Askari 10,15,6,5,2,1,3,1,3,3,82402372,2
Askari 10,5,2,2,1,1,1,1,19,1,24698318,2
Askari 10,7,4,4,1,1,2,1,22,2,35257540,2
Askari 10,5,4,3,1,1,2,1,26,1,28357468,2
Askari 10,7,4,4,1,1,3,1,13,5,37457248,2
Askari 10,10,5,5,1,2,2,1,6,3,57570865,2
Askari 10,10,5,5,2,1,3,1,5,2,50763553,2
Askari 10,10,6,6,1,0,3,1,18,2,52972360,2
Askari 10,20,7,7,2,2,3,1,17,2,97352167,2
Askari 10,5,4,4,0,1,2,1,25,1,27875409,2
Askari 10,10,6,6,1,1,3,1,7,1,48968328,2
Askari 10,20,5,4,2,1,2,1,17,2,106677611,2
Askari 10,7,5,5,1,1,2,1,9,4,42149385,2
Askari 10,5,2,1,1,0,1,1,26,4,26342395,2
Askari 10,10,6,6,1,1,3,1,4,3,49486102,2
Askari 10,7,4,3,1,1,3,1,20,3,36606669,2
Askari 10,20,4,3,2,2,3,3,25,3,112719372,2
Askari 10,10,4,4,1,1,3,1,28,1,46913331,2
Askari 10,7,4,3,2,1,3,1,19,1,36549065,2
Askari 10,5,3,3,1,0,2,1,2,4,27887000,2
Askari 10,5,3,2,1,0,1,1,11,1,27356544,2
Askari 10,5,3,2,0,0,2,1,7,2,22973281,2
Askari 10,5,2,2,1,0,1,1,19,4,27583961,2
Askari 10,10,6,5,2,2,3,1,18,2,60094074,2
Askari 10,7,3,2,1,0,3,1,26,5,35832765,2
Askari 10,7,5,4,1,2,1,1,15,3,40326184,2
Askari 10,5,4,3,1,1,1,1,14,3,26296946,2
Askari 10,5,2,1,0,1,2,1,9,5,26067184,2
Askari 10,20,5,4,3,1,3,3,16,1,109732235,2
Askari 10,15,4,3,1,1,3,1,21,1,82711975,2
Askari 10,10,4,3,2,1,3,1,28,3,53122585,2
Askari 10,3,3,3,0,0,2,0,20,4,14780390,2
Askari 10,15,7,6,1,1,3,2,17,5,83259777,2
Askari 10,5,3,3,1,0,1,1,0,2,28416680,2
Askari 11,5,3,3,0,0,1,1,17,3,20504822,3
Askari 11,20,7,6,2,1,3,3,27,1,89756867,3
Askari 11,15,5,5,2,2,3,1,25,1,63802382,3
Askari 11,3,3,2,0,0,2,0,6,1,14576704,3
Askari 11,5,2,2,0,0,1,1,28,2,20566035,3
Askari 11,5,2,1,1,0,2,1,16,3,24837522,3
Askari 11,10,3,3,1,1,2,1,18,2,44909286,3
Askari 11,7,5,5,1,1,3,1,1,5,32378351,3
Askari 11,5,2,1,1,0,1,1,2,2,23283855,3
Askari 11,5,4,3,1,1,2,1,12,5,25968006,3
Askari 11,3,2,2,1,0,2,0,22,4,15578237,3
Askari 11,5,2,2,0,1,1,1,20,2,23842846,3
Askari 11,7,5,4,1,1,2,1,15,4,35777509,3
Askari 11,7,5,4,1,0,1,1,20,5,30804809,3
Askari 11,20,7,7,1,1,2,3,20,2,81387601,3
Askari 11,7,3,2,2,0,3,1,4,4,33321897,3
Askari 11,15,4,3,3,2,3,2,25,3,76452126,3
Askari 11,5,2,2,1,1,2,1,18,2,21584620,3
Askari 11,5,4,4,1,0,2,1,11,4,26778767,3
Askari 11,3,3,3,0,0,1,0,2,1,14812181,3
Askari 11,5,4,3,0,0,1,1,13,4,22953638,3
Askari 11,5,3,3,0,1,2,1,4,2,23400740,3
Askari 11,5,3,3,1,0,1,1,13,2,24362682,3
Askari 11,3,3,2,0,0,1,0,8,4,14034204,3
Askari 11,3,3,2,0,0,1,0,14,3,13649040,3
Askari 11,15,4,3,2,1,2,2,3,4,68706376,3
Askari 11,10,3,2,2,2,3,1,16,4,48269641,3
Askari 11,7,5,4,1,1,1,1,19,4,32445650,3
Askari 11,7,3,2,2,1,1,1,17,4,32668433,3
Askari 11,10,3,2,1,0,3,1,26,2,47104272,3
Askari 11,3,3,2,0,0,1,0,9,2,14136547,3
Askari 11,20,6,6,1,2,3,3,16,1,81941993,3
Askari 11,3,3,3,0,1,1,0,18,4,14822561,3
Askari 11,5,2,1,1,1,1,1,11,2,23712107,3
Askari 11,20,6,5,2,2,3,2,19,1,99147961,3
Askari 11,5,3,3,0,0,2,1,0,1,23087651,3
Askari 11,15,6,6,2,2,2,2,22,4,67779882,3
Askari 11,3,2,1,1,1,1,0,20,5,14875063,3
Askari 11,10,3,2,2,1,2,1,9,2,50803014,3
Askari 11,10,5,5,1,1,2,1,16,5,51666195,3
Askari 11,5,4,4,1,0,1,1,3,1,25877079,3
Askari 11,7,3,3,1,0,1,1,17,2,34927877,3
Askari 11,10,3,2,2,0,1,1,0,4,44040789,3
Askari 11,3,3,3,0,1,1,0,11,4,14097738,3
Askari 11,5,2,1,0,0,1,1,6,4,22295610,3
Askari 11,15,7,7,2,2,2,2,11,2,69000220,3
Askari 11,3,3,3,0,1,1,0,7,3,16156962,3
Askari 11,5,3,2,1,0,2,1,11,2,23713514,3
Askari 11,10,5,4,2,0,3,1,14,1,45350465,3
Askari 11,5,3,3,1,0,2,1,11,2,25119642,3
Askari 11,7,4,4,1,1,2,1,18,4,32830040,3
Valencia Housing,10,4,3,1,1,2,1,1,4,43980732,47
Valencia Housing,15,4,3,2,2,3,2,2,5,59967199,47
Valencia Housing,5,4,4,1,0,2,1,23,1,20678894,47
Valencia Housing,10,6,5,1,1,2,1,23,4,45899987,47
Valencia Housing,7,3,3,1,1,2,1,23,4,29617850,47
Valencia Housing,3,3,2,0,0,2,0,7,1,11372344,47
Valencia Housing,10,3,3,1,1,2,1,26,2,40496426,47
Valencia Housing,5,4,4,1,1,1,1,19,5,21789041,47
Valencia Housing,10,6,6,2,0,3,1,21,5,39448635,47
Valencia Housing,5,3,3,1,0,1,1,9,4,22068840,47
Valencia Housing,3,2,2,0,0,1,0,19,1,10582706,47
Valencia Housing,7,5,5,2,2,1,1,22,3,33296614,47
Valencia Housing,5,3,2,0,1,1,1,7,5,22724038,47
Valencia Housing,5,3,3,0,1,1,1,20,5,21108044,47
Valencia Housing,5,3,3,0,1,1,1,22,1,18933214,47
Valencia Housing,10,4,3,1,1,3,1,26,5,43259978,47
Valencia Housing,15,4,3,2,1,3,2,25,2,66795052,47
Valencia Housing,5,2,2,1,1,2,1,25,3,22696668,47
Valencia Housing,5,2,1,0,1,1,1,23,5,22368722,47
Valencia Housing,3,3,3,0,1,1,0,5,2,12255029,47
Valencia Housing,15,5,5,2,1,3,1,0,1,66040267,47
Valencia Housing,10,5,5,1,0,1,1,9,5,45199018,47
Valencia Housing,7,4,4,2,1,3,1,21,5,29310057,47
Valencia Housing,20,4,4,2,1,2,2,11,2,78302384,47
Valencia Housing,5,4,3,0,1,3,1,14,5,22001838,47
Valencia Housing,7,3,2,1,1,2,1,29,3,27315494,47
Valencia Housing,20,7,6,2,2,3,3,20,4,84055088,47
Valencia Housing,10,4,4,1,1,2,1,25,2,42167947,47
Valencia Housing,5,2,1,1,1,1,1,7,5,20076846,47
Valencia Housing,3,3,3,0,0,1,0,24,3,11792688,47
Valencia Housing,3,2,2,0,0,1,0,28,5,13060827,47
Valencia Housing,10,3,3,1,1,1,1,20,3,44953919,47
Valencia Housing,10,6,6,1,1,2,1,25,5,45477614,47
Valencia Housing,10,5,4,1,1,2,1,23,4,43410872,47
Valencia Housing,5,2,2,0,1,1,1,2,3,19864658,47
Valencia Housing,10,3,2,1,0,2,1,2,4,38891965,47
Valencia Housing,5,4,4,0,1,2,1,24,2,21774891,47
Valencia Housing,10,5,4,1,1,2,1,10,2,46328249,47
Valencia Housing,20,5,5,3,1,3,3,4,2,90385765,47
Valencia Housing,5,3,3,1,1,1,1,27,3,21072256,47
Valencia Housing,3,2,2,0,0,1,0,4,3,11537277,47
Valencia Housing,10,6,6,1,0,3,1,19,5,39868765,47
Valencia Housing,5,3,2,0,0,2,1,6,5,19161506,47
Valencia Housing,7,5,5,2,2,1,1,1,4,30049451,47
Valencia Housing,7,3,3,1,0,2,1,19,2,26796693,47
Valencia Housing,10,3,2,1,1,2,1,13,4,39953786,47
Shadman,3,3,2,1,1,1,0,8,1,21895371,42
Shadman,3,2,1,1,0,1,0,24,2,18888606,42
Shadman,5,3,2,0,1,2,1,10,3,34395242,42
Shadman,10,6,5,1,2,3,1,19,2,64511108,42
Shadman,15,4,3,2,2,3,2,11,2,111920628,42
Shadman,5,4,4,1,0,2,1,2,2,34958557,42
Shadman,15,4,4,1,1,3,1,3,1,106892114,42
Shadman,20,6,6,1,1,3,1,11,2,129041197,42
Shadman,5,2,1,0,1,2,1,10,1,35624812,42
Shadman,7,5,4,1,1,2,1,25,1,52714019,42
Shadman,7,5,4,1,2,1,1,3,2,49424530,42
Shadman,20,5,5,2,1,3,2,17,3,144227642,42
Shadman,5,3,3,1,0,2,1,24,3,34653599,42
Shadman,10,6,6,1,0,3,1,26,3,69638010,42
Shadman,3,2,1,0,0,1,0,0,2,18856551,42
Shadman,5,3,2,0,1,1,1,21,5,31666144,42
Shadman,7,3,3,2,0,2,1,15,5,56473250,42
Shadman,7,3,3,1,2,2,1,17,2,52908217,42
Shadman,10,6,5,1,1,2,1,25,2,70367146,42
Shadman,10,4,4,1,1,2,1,24,5,69552781,42
Shadman,5,4,4,0,1,1,1,12,2,36630307,42
Shadman,7,4,4,1,2,2,1,22,1,52781030,42
Shadman,7,3,2,2,2,1,1,29,4,55181832,42
Shadman,10,5,5,2,0,2,1,4,5,71102921,42
Shadman,5,3,2,1,1,1,1,2,4,35367819,42
Shadman,20,7,6,1,2,3,1,5,3,135576874,42
Shadman,20,5,4,2,1,2,2,8,5,147074666,42
Shadman,7,4,4,1,1,3,1,27,5,52402095,42
Shadman,10,4,3,1,1,2,1,23,5,67032779,42
Shadman,20,6,6,1,1,2,1,18,4,137111863,42
Shadman,7,3,2,2,0,2,1,6,5,54980923,42
Shadman,3,2,2,0,0,1,0,19,2,17916730,42
Shadman,10,4,3,1,1,1,1,18,5,75282291,42
Shadman,10,3,3,2,1,1,1,1,5,65793283,42
Shadman,5,2,1,1,1,1,1,0,2,37761487,42
Shadman,15,7,6,2,1,2,1,29,4,97481911,42
Shadman,10,6,5,1,1,3,1,14,4,65554530,42
Shadman,5,2,1,1,0,1,1,3,2,31992435,42
Shadman,5,4,3,0,1,1,1,13,1,31662384,42
Shadman,5,4,4,1,0,1,1,19,3,38022991,42
Shadman,5,3,3,0,0,2,1,17,1,31973245,42
Shadman,7,3,3,1,1,1,1,1,4,51406864,42
Shadman,20,7,7,1,2,2,2,15,3,139086251,42
Shadman,10,6,6,1,2,3,1,15,1,67127956,42
Shadman,7,5,4,2,0,1,1,28,3,50565347,42
Shadman,5,4,4,1,1,2,1,14,5,40842041,42
Shadman,5,3,3,1,1,2,1,26,5,34263024,42
Shadman,5,3,2,0,1,1,1,24,3,37043213,42
Shadman,7,4,4,2,1,3,1,7,4,55759231,42
Shadman,7,4,4,1,1,2,1,16,4,53031266,42
Shadman,5,4,4,1,0,1,1,17,3,32954220,42
Shadman,3,2,1,0,1,1,0,26,2,20104211,42
Shadman,7,4,4,2,0,2,1,22,2,45764578,42
Shadman,7,3,3,1,1,2,1,20,4,51815257,42
Shadman,5,3,3,1,1,1,1,27,4,35020735,42
Shadman,5,2,2,0,1,1,1,24,3,34302355,42
Bahria Town (Sector A-D),5,2,1,1,0,1,1,1,3,21262669,5
Bahria Town (Sector A-D),10,4,3,2,1,3,1,6,4,39435903,5
Bahria Town (Sector A-D),5,3,2,0,0,1,1,23,5,17424686,5
Bahria Town (Sector A-D),5,4,4,1,0,1,1,17,4,18998347,5
Bahria Town (Sector A-D),20,7,6,1,2,3,2,28,2,72035992,5
Bahria Town (Sector A-D),5,3,2,0,1,1,1,20,4,18893515,5
Bahria Town (Sector A-D),10,3,2,1,1,2,1,25,1,39646540,5
Bahria Town (Sector A-D),5,4,3,1,0,1,1,17,4,18719466,5
Bahria Town (Sector A-D),5,2,2,1,0,2,1,14,2,21442890,5
Bahria Town (Sector A-D),5,4,3,1,1,1,1,6,2,21252920,5
